category,level,en,it
verbs,A1,be,essere
verbs,A1,have,avere
verbs,A1,do,fare
verbs,A1,go,andare
verbs,A1,get,ottenere
verbs,A1,make,fare
verbs,A1,like,piacere
verbs,A1,love,amare
verbs,A1,want,volere
verbs,A1,need,avere bisogno
verbs,A1,eat,mangiare
verbs,A1,drink,bere
verbs,A1,read,leggere
verbs,A1,write,scrivere
verbs,A1,say,dire
verbs,A1,listen,ascoltare
verbs,A1,hear,sentire
verbs,A1,see,vedere
verbs,A1,look,guardare
verbs,A1,watch,guardare
verbs,A1,come,venire
verbs,A1,take,prendere
verbs,A1,give,dare
verbs,A1,put,mettere
verbs,A1,open,aprire
verbs,A1,close,chiudere
verbs,A1,live,vivere
verbs,A1,work,lavorare
verbs,A1,study,studiare
verbs,A1,play,giocare
nouns,A1,boy,ragazzo
nouns,A1,girl,ragazza
nouns,A1,man,uomo
nouns,A1,woman,donna
nouns,A1,child,bambino
nouns,A1,family,famiglia
nouns,A1,friend,amico
nouns,A1,teacher,insegnante
nouns,A1,student,studente
nouns,A1,school,scuola
nouns,A1,book,libro
nouns,A1,pen,penna
nouns,A1,table,tavolo
nouns,A1,chair,sedia
nouns,A1,house,casa
nouns,A1,room,stanza
nouns,A1,bed,letto
nouns,A1,door,porta
nouns,A1,window,finestra
nouns,A1,car,macchina
nouns,A1,bus,autobus
nouns,A1,train,treno
nouns,A1,food,cibo
nouns,A1,water,acqua
nouns,A1,bread,pane
nouns,A1,apple,mela
nouns,A1,day,giorno
nouns,A1,night,notte
nouns,A1,time,tempo
nouns,A1,year,anno
adjectives,A1,big,grande
adjectives,A1,small,piccolo
adjectives,A1,long,lungo
adjectives,A1,short,corto
adjectives,A1,old,vecchio
adjectives,A1,young,giovane
adjectives,A1,new,nuovo
adjectives,A1,good,buono
adjectives,A1,bad,cattivo
adjectives,A1,nice,carino
adjectives,A1,happy,felice
adjectives,A1,sad,triste
adjectives,A1,angry,arrabbiato
adjectives,A1,hungry,affamato
adjectives,A1,thirsty,assetato
adjectives,A1,hot,caldo
adjectives,A1,cold,freddo
adjectives,A1,warm,tiepido
adjectives,A1,clean,pulito
adjectives,A1,dirty,sporco
adjectives,A1,beautiful,bello
adjectives,A1,ugly,brutto
adjectives,A1,easy,facile
adjectives,A1,difficult,difficile
adjectives,A1,full,pieno
adjectives,A1,empty,vuoto
adjectives,A1,open,aperto
adjectives,A1,closed,chiuso
adjectives,A1,right,giusto
adjectives,A1,wrong,sbagliato
