Category,Level,English,Italian
adjectives,C2,affable,affabile
adjectives,C2,affluent,agiato/prospero
adjectives,C2,aggrieved,offeso/leso
adjectives,C2,altruistic,altruista
adjectives,C2,amiable,amabile/cortese
adjectives,C2,ardent,ardente/appassionato
adjectives,C2,articulate,eloquente/chiaro
adjectives,C2,astonishing,sbalorditivo
adjectives,C2,astounding,stupefacente
adjectives,C2,audacious,audace/sfrontato
adjectives,C2,auspicious,propizio/favorevole
adjectives,C2,belittling,sminuente
adjectives,C2,beleaguered,assediato/sotto pressione
adjectives,C2,beneficial,benefico/vantaggioso
adjectives,C2,benign,benigno
adjectives,C2,brazen,spudorato/sfrontato
adjectives,C2,burgeoning,in rapida crescita
adjectives,C2,candid,franco/sincero
adjectives,C2,capacious,capiente/ampio
adjectives,C2,celestial,celestiale/astrale
adjectives,C2,clandestine,clandestino
adjectives,C2,cohesive,coesivo/unitario
adjectives,C2,commendable,lodevole
adjectives,C2,compelling,avvincente/irresistibile
adjectives,C2,complacent,compiaciuto/indifferente
adjectives,C2,conducive,propizio/favorevole
adjectives,C2,conspicuous,evidente/ben visibile
adjectives,C2,contentious,controverso/litigioso
adjectives,C2,convivial,conviviale/socievole
adjectives,C2,copious,abbondante
adjectives,C2,cursory,superficiale/affrettato
adjectives,C2,daunting,sconcertante/impegnativo
adjectives,C2,delectable,delizioso/squisito
adjectives,C2,demure,riservato/modesto
adjectives,C2,derogatory,dispregiativo/offensivo
adjectives,C2,detrimental,deleterio/dannoso
adjectives,C2,discerning,lungimirante/perspicace
adjectives,C2,disgruntled,scontento/irritato
adjectives,C2,disingenuous,ipocrita/falso
adjectives,C2,disparate,disparato/eterogeneo
adjectives,C2,ecstatic,estatico/entusiasta
adjectives,C2,elated,euforico/allegro
adjectives,C2,eloquent,eloquente
adjectives,C2,eminent,eminente/illustre
adjectives,C2,ephemeral,effimero/passeggero
adjectives,C2,erroneous,errato/falso
adjectives,C2,evocative,evocativo/suggestivo
adjectives,C2,exorbitant,esorbitante/esagerato
adjectives,C2,extravagant,stravagante/eccessivo
adjectives,C2,facetious,ironico/scherzoso
adjectives,C2,fallacious,fallace/ingannevole
adjectives,C2,fastidious,meticoloso/esigente
adjectives,C2,fathomless,insondabile/profondo
adjectives,C2,feasible,fattibile/realizzabile
adjectives,C2,flimsy,debole/inconsistente
adjectives,C2,formidable,formidabile/imponente
adjectives,C2,forthcoming,imminente/disponibile
adjectives,C2,fractious,irrequieto/turbolento
adjectives,C2,frivolous,frivolo/superficiale
adjectives,C2,gauche,goffo/maldestro
adjectives,C2,gluttonous,ingordo/avido
adjectives,C2,gregarious,socievole/espansivo
adjectives,C2,grievous,grave/doloroso
adjectives,C2,groundbreaking,innovativo/rivoluzionario
adjectives,C2,grueling,estenuante/massacrante
adjectives,C2,hapless,sfortunato
adjectives,C2,haphazard,casuale/senza metodo
adjectives,C2,heinous,atroce/abominevole
adjectives,C2,iconoclastic,iconoclasta/anti-tradizionale
adjectives,C2,idiosyncratic,idiosincratico/particolare
adjectives,C2,illustrious,illustre/prestigioso
adjectives,C2,imminent,imminente
adjectives,C2,impeccable,impeccabile
