level,word,synonyms
B2,accomplish,achieve;complete;fulfill;attain
B2,acknowledge,admit;recognize;accept;confess
B2,adapt,adjust;modify;alter;customize
B2,adequate,sufficient;enough;acceptable;satisfactory
B2,adjacent,neighboring;next to;adjoining;contiguous
B2,adverse,unfavorable;harmful;hostile;detrimental
B2,advocate,support;promote;endorse;champion
B2,allocate,assign;distribute;apportion;allot
B2,alter,change;modify;adjust;transform
B2,ambiguous,unclear;vague;equivocal;obscure
B2,analyze,examine;study;investigate;evaluate
B2,anticipate,expect;foresee;predict;await
B2,apprehensive,anxious;concerned;worried;uneasy
B2,approximate,estimated;rough;near;close
B2,arbitrary,random;unpredictable;capricious;unreasoned
B2,assert,declare;affirm;state;maintain
B2,assess,evaluate;judge;appraise;estimate
B2,assume,presume;suppose;take on;believe
B2,attain,achieve;reach;accomplish;obtain
B2,attribute,ascribe;credit;assign;impute
B2,beneficial,helpful;advantageous;valuable;favorable
B2,blunt,direct;frank;straightforward;plainspoken
B2,boost,increase;raise;enhance;improve
B2,brisk,quick;lively;energetic;vigorous
B2,capable,competent;skilled;proficient;efficient
B2,cease,stop;end;halt;terminate
B2,clarify,explain;elucidate;simplify;illustrate
B2,coherent,logical;consistent;clear;orderly
B2,comprehensive,complete;thorough;extensive;detailed
B2,conceal,hide;cover;mask;obscure
B2,concur,agree;coincide;assent;approve
B2,condense,shorten;summarize;compress;abridge
B2,confront,face;challenge;oppose;encounter
B2,consequence,result;effect;outcome;repercussion
B2,constrain,limit;restrict;confine;curb
B2,contemplate,consider;think;ponder;reflect
B2,contradict,oppose;deny;dispute;refute
B2,contribute,give;donate;provide;offer
B2,conventional,traditional;standard;usual;orthodox
B2,convince,persuade;assure;influence;sway
B2,correlate,connect;associate;link;relate
B2,criteria,standards;principles;benchmarks;measures
B2,crucial,essential;critical;vital;decisive
B2,culminate,climax;peak;conclude;reach
B2,curtail,reduce;limit;shorten;restrain
B2,debate,discuss;argue;dispute;consider
B2,decipher,decode;interpret;solve;understand
B2,decrease,reduce;lessen;diminish;decline
B2,deficient,lacking;inadequate;insufficient;imperfect
B2,deliberate,intentional;careful;considered;planned
B2,denote,indicate;represent;mean;symbolize
B2,deplete,exhaust;drain;use up;consume
B2,derive,obtain;receive;extract;gain
B2,desolate,empty;bleak;abandoned;lonely
B2,despise,detest;hate;loathe;disdain
B2,deter,discourage;prevent;hinder;restrain
B2,devastate,destroy;ruin;wreck;overwhelm
B2,devise,plan;invent;design;formulate
B2,diligent,hardworking;industrious;assiduous;persistent
B2,diminish,reduce;lessen;decrease;shrink
B2,disclose,reveal;divulge;uncover;expose
B2,discrepancy,difference;inconsistency;variation;contrast
B2,discriminate,differentiate;distinguish;separate;recognize
B2,disrupt,disturb;interrupt;disorganize;upset
B2,distant,far;remote;faraway;secluded
B2,distinct,clear;different;unique;separate
B2,distort,twist;misrepresent;warp;falsify
B2,diverse,varied;different;distinct;variegated
B2,dominate,control;rule;overpower;influence
B2,draft,plan;outline;sketch;prepare
B2,drastic,severe;extreme;radical;intense
B2,elevate,raise;lift;boost;promote
B2,eliminate,remove;get rid of;eradicate;exclude
B2,embark,start;begin;commence;launch
B2,emerge,appear;arise;develop;surface
B2,emphasize,highlight;stress;underline;accentuate
B2,enable,allow;permit;facilitate;empower
B2,encounter,meet;face;experience;confront
B2,endure,suffer;tolerate;bear;withstand
B2,enforce,implement;apply;compel;administer
B2,enhance,improve;increase;boost;elevate
B2,enormous,huge;vast;immense;gigantic
B2,entail,involve;require;include;necessitate
B2,erroneous,wrong;incorrect;mistaken;false
B2,establish,set up;found;create;initiate
B2,evaluate,assess;judge;appraise;estimate
B2,evoke,bring to mind;arouse;stimulate;provoke
B2,exceed,surpass;go beyond;outdo;overstep
B2,exhibit,display;show;present;demonstrate
B2,expand,enlarge;increase;extend;broaden
B2,exploit,use;utilize;take advantage of;capitalize on
B2,expose,reveal;uncover;show;display
B2,extend,stretch;lengthen;prolong;expand
B2,facilitate,make easier;assist;aid;simplify
B2,feasible,possible;practical;achievable;viable
B2,foster,encourage;promote;nurture;support
B2,fragment,piece;part;section;portion
B2,frequent,common;regular;repeated;habitual
B2,generate,produce;create;cause;engender
B2,gradual,slow;steady;progressive;incremental

