level,verb,meaning
A2,look forward to,to feel excited about a future event
A2,put off,to postpone or delay
A2,give up,to stop doing something
A2,give in,to finally agree to something after resisting
A2,get along (with),to have a good relationship
A2,get over,to recover from something
A2,find out,to discover or learn information
A2,figure out,to understand or solve something
A2,carry on,to continue
A2,carry out,to perform or complete a task
A2,pick up,to learn informally or collect
A2,run out (of),to have none left
A2,set up,to arrange or establish
A2,bring up,to mention a topic
A2,work out,to exercise or find a solution
A2,come up with,to think of an idea or plan
A2,drop off,to deliver or fall asleep
A2,get back,to return
A2,hang out,to spend time relaxing
A2,keep up (with),to continue at the same speed or level
A2,make up,to invent or reconcile
A2,point out,to indicate or draw attention to
A2,put out,to extinguish a fire or cigarette
A2,set off,to begin a journey; cause to operate
A2,sort out,to organize or resolve a problem
A2,take up,to start a new hobby or activity
A2,back up,to make a copy of data
A2,break down,to stop working (machine); become upset
A2,call off,to cancel
A2,catch up (with),to reach the same level
A2,cut down (on),to reduce the amount of something
A2,end up,to finally arrive at a place or situation
A2,get around,to travel or avoid something
A2,give back,to return something to its owner
A2,grow up,to become an adult
A2,log in,to sign into a computer system
A2,pay back,to return borrowed money
A2,set aside,to save for a purpose
A2,show up,to appear or arrive
A2,speak up,to talk louder
A2,turn around,to change direction or situation
A2,turn back,to go back to previous point
A2,come along,to accompany or progress
A2,come apart,to break into pieces
A2,drop by,to visit briefly without appointment
A2,get through,to complete or survive
A2,hold on,to wait a moment
A2,keep on,to continue doing something
A2,look into,to investigate
A2,run away,to escape
A2,run over,to hit with a vehicle
A2,send back,to return something
A2,set out,to start a journey or plan
A2,stand out,to be noticeable
A2,take back,to retract something said
A2,try out,to test or experiment
A2,turn in,to submit or go to bed
A2,watch out,to be careful
A2,work on,to focus effort on something
A2,run off,to leave quickly

