level,word,synonyms
B1,accurate,correct;exact;precise;true
B1,active,energetic;lively;dynamic;busy
B1,advanced,modern;progressive;cutting-edge;developed
B1,ambitious,driven;determined;aspiring;motivated
B1,ancient,old;antique;historic;age-old
B1,annoyed,irritated;bothered;upset;frustrated
B1,anxious,worried;nervous;uneasy;troubled
B1,appropriate,suitable;proper;fitting;relevant
B1,average,normal;typical;ordinary;standard
B1,awarded,given;granted;presented;honored
B1,beneficial,useful;helpful;valuable;advantageous
B1,bitter,harsh;sour;resentful;severe
B1,brave,courageous;fearless;bold;valiant
B1,brilliant,bright;intelligent;clever;excellent
B1,capable,able;competent;skilled;efficient
B1,careful,cautious;attentive;watchful;alert
B1,challenging,difficult;demanding;hard;testing
B1,cheap,inexpensive;low-cost;budget;affordable
B1,clear,obvious;evident;apparent;plain
B1,comfortable,cozy;pleasant;relaxed;content
B1,common,ordinary;usual;frequent;familiar
B1,complex,complicated;intricate;detailed;elaborate
B1,confident,sure;positive;certain;self-assured
B1,confusing,unclear;puzzling;perplexing;bewildering
B1,constant,continual;endless;regular;persistent
B1,convenient,useful;handy;helpful;practical
B1,cool,chilly;refreshing;calm;fashionable
B1,crowded,packed;busy;full;jammed
B1,crucial,essential;vital;important;key
B1,current,present;ongoing;modern;contemporary
B1,curious,inquisitive;interested;questioning;eager
B1,dangerous,risky;unsafe;hazardous;perilous
B1,deep,profound;intense;strong;serious
B1,demanding,tiring;exhausting;challenging;difficult
B1,direct,straight;frank;honest;open
B1,disappointed,let down;upset;dissatisfied;discouraged
B1,dramatic,emotional;intense;exciting;theatrical
B1,educational,instructive;teaching;informative;enlightening
B1,effective,successful;efficient;useful;powerful
B1,efficient,productive;organized;effective;systematic
B1,emotional,passionate;expressive;touching;moving
B1,empty,vacant;hollow;deserted;bare
B1,exact,precise;correct;accurate;faithful
B1,expensive,costly;high-priced;valuable;overpriced
B1,experienced,skilled;trained;knowledgeable;seasoned
B1,fake,false;imitation;artificial;pretend
B1,fantasy,imaginary;unreal;fictional;mythical
B1,fixed,set;established;unchanging;permanent
B1,foolish,silly;stupid;unwise;ridiculous
B1,formal,official;serious;ceremonial;proper
B1,frozen,icy;chilly;cold;solidified
B1,generous,kind;giving;charitable;openhanded
B1,gentle,soft;calm;kind;mild
B1,genuine,real;authentic;true;honest
B1,guilty,ashamed;responsible;remorseful;at fault
B1,hardworking,diligent;industrious;dedicated;committed
B1,helpful,kind;useful;supportive;cooperative
B1,hopeless,desperate;discouraged;pointless;useless
B1,ideal,perfect;best;excellent;suitable
B1,independent,self-reliant;free;autonomous;separate
B1,jealous,envious;resentful;covetous;suspicious
B1,kind,gentle;helpful;generous;friendly
B1,lively,active;energetic;cheerful;spirited
B1,lucky,fortunate;blessed;successful;favored
B1,ordinary,normal;average;usual;commonplace
B1,peaceful,quiet;calm;tranquil;serene
B1,polite,respectful;well-mannered;courteous;gracious
B1,positive,optimistic;confident;hopeful;constructive
B1,practical,useful;realistic;effective;functional
B1,professional,skilled;qualified;expert;trained
B1,proper,correct;appropriate;right;suitable
B1,rare,unusual;exceptional;special;infrequent
B1,reasonable,sensible;fair;logical;rational
B1,responsible,reliable;trustworthy;dependable;accountable
B1,serious,grave;important;critical;severe
B1,similar,alike;comparable;resembling;close
B1,strict,severe;firm;stern;harsh
B1,typical,usual;normal;regular;characteristic
