level,verb,tense,1s,2s,3s,1p,2p,3p
B1,be,present_simple,am,are,is,are,are,are
B1,be,past_simple,was,were,was,were,were,were
B1,be,future_simple,will be,will be,will be,will be,will be,will be
B1,be,be_going_to,am going to be,are going to be,is going to be,are going to be,are going to be,are going to be
B1,have,present_simple,have,have,has,have,have,have
B1,have,past_simple,had,had,had,had,had,had
B1,have,future_simple,will have,will have,will have,will have,will have,will have
B1,have,be_going_to,am going to have,are going to have,is going to have,are going to have,are going to have,are going to have
B1,do,present_simple,do,do,does,do,do,do
B1,do,past_simple,did,did,did,did,did,did
B1,do,future_simple,will do,will do,will do,will do,will do,will do
B1,do,be_going_to,am going to do,are going to do,is going to do,are going to do,are going to do,are going to do
B1,go,present_simple,go,go,goes,go,go,go
B1,go,past_simple,went,went,went,went,went,went
B1,go,future_simple,will go,will go,will go,will go,will go,will go
B1,go,be_going_to,am going to go,are going to go,is going to go,are going to go,are going to go,are going to go
B1,get,present_simple,get,get,gets,get,get,get
B1,get,past_simple,got,got,got,got,got,got
B1,get,future_simple,will get,will get,will get,will get,will get,will get
B1,get,be_going_to,am going to get,are going to get,is going to get,are going to get,are going to get,are going to get
B1,make,present_simple,make,make,makes,make,make,make
B1,make,past_simple,made,made,made,made,made,made
B1,make,future_simple,will make,will make,will make,will make,will make,will make
B1,make,be_going_to,am going to make,are going to make,is going to make,are going to make,are going to make,are going to make
B1,say,present_simple,say,say,says,say,say,say
B1,say,past_simple,said,said,said,said,said,said
B1,say,future_simple,will say,will say,will say,will say,will say,will say
B1,say,be_going_to,am going to say,are going to say,is going to say,are going to say,are going to say,are going to say
B1,take,present_simple,take,take,takes,take,take,take
B1,take,past_simple,took,took,took,took,took,took
B1,take,future_simple,will take,will take,will take,will take,will take,will take
B1,take,be_going_to,am going to take,are going to take,is going to take,are going to take,are going to take,are going to take
B1,come,present_simple,come,come,comes,come,come,come
B1,come,past_simple,came,came,came,came,came,came
B1,come,future_simple,will come,will come,will come,will come,will come,will come
B1,come,be_going_to,am going to come,are going to come,is going to come,are going to come,are going to come,are going to come
B1,think,present_simple,think,think,thinks,think,think,think
B1,think,past_simple,thought,thought,thought,thought,thought,thought
B1,think,future_simple,will think,will think,will think,will think,will think,will think
B1,think,be_going_to,am going to think,are going to think,is going to think,are going to think,are going to think,are going to think
B1,see,present_simple,see,see,sees,see,see,see
B1,see,past_simple,saw,saw,saw,saw,saw,saw
B1,see,future_simple,will see,will see,will see,will see,will see,will see
B1,see,be_going_to,am going to see,are going to see,is going to see,are going to see,are going to see,are going to see
B1,know,present_simple,know,know,knows,know,know,know
B1,know,past_simple,knew,knew,knew,knew,knew,knew
B1,know,future_simple,will know,will know,will know,will know,will know,will know
B1,know,be_going_to,am going to know,are going to know,is going to know,are going to know,are going to know,are going to know
B1,think,present_simple,think,think,thinks,think,think,think
B1,think,past_simple,thought,thought,thought,thought,thought,thought
B1,think,future_simple,will think,will think,will think,will think,will think,will think
B1,think,be_going_to,am going to think,are going to think,is going to think,are going to think,are going to think,are going to think
