category,level,en,it
adjectives,B1,aware,consapevole
adjectives,B1,confident,sicuro di sé
adjectives,B1,different,vario/diverso
adjectives,B1,disappointed,deluso
adjectives,B1,embarrassed,imbarazzato
adjectives,B1,environmental,ambientale
adjectives,B1,frustrated,frustrato
adjectives,B1,grateful,riconoscente
adjectives,B1,guilty,colpevole
adjectives,B1,independent,indipendente
adjectives,B1,lonely,solo
adjectives,B1,proud,orgoglioso
adjectives,B1,reliable,affidabile
adjectives,B1,successful,di successo
adjectives,B1,unfair,ingiusto
adjectives,B1,upset,sconvolto
adjectives,B1,curious,curioso
adjectives,B1,helpful,servizievole
adjectives,B1,creative,creativo
adjectives,B1,positive,positivo
adjectives,B1,negative,negativo
adjectives,B1,average,nella media
adjectives,B1,usual,abituale
adjectives,B1,unusual,insolito
adjectives,B1,comfortable,confortevole
adjectives,B1,energetic,energetico
adjectives,B1,practical,pratico
adjectives,B1,social,sociale
adjectives,B1,financial,finanziario
adjectives,B1,personal,personale
adjectives,B1,emotional,emotivo
adjectives,B1,physical,fisico
adjectives,B1,political,politico
adjectives,B1,international,internazionale
adjectives,B1,local,locale
adjectives,B1,daily,quotidiano
adjectives,B1,weekly,settimanale
adjectives,B1,monthly,mensile
adjectives,B1,professional,professionale
adjectives,B1,natural,naturale
adjectives,B1,mental,mentale
adjectives,B1,angry,arrabbiato
adjectives,B1,serious,serio
adjectives,B1,personalized,personalizzato
adjectives,B1,reasonable,raggionevole
adjectives,B1,sensible,sensato
adjectives,B1,typical,tipico
adjectives,B1,various,vario
adjectives,B1,visible,visibile
adjectives,B1,hidden,nascosto
verbs,B1,achieve,raggiungere/realizzare
verbs,B1,afford,permettersi
verbs,B1,avoid,evitare
verbs,B1,complain,lamentarsi
verbs,B1,discover,scoprire
verbs,B1,encourage,incoraggiare
verbs,B1,expect,aspettarsi
verbs,B1,guess,indovinare
verbs,B1,imagine,immaginare
verbs,B1,impress,impressionare
verbs,B1,manage,gestire/riuscire
verbs,B1,mention,menzionare
verbs,B1,miss,perdere/mancare
verbs,B1,prefer,preferire
verbs,B1,realize,rendersi conto
verbs,B1,refuse,rifiutare
verbs,B1,suggest,suggerire
verbs,B1,suppose,supporre
verbs,B1,wonder,chiedersi/domandarsi
verbs,B1,warn,avvertire
verbs,B1,improve,migliorare
verbs,B1,explain,spiegare
verbs,B1,describe,descrivere
verbs,B1,depend,dipendere
verbs,B1,develop,sviluppare
verbs,B1,discuss,discutere
verbs,B1,enter,entrare
verbs,B1,examine,esaminare
verbs,B1,express,esprimere
verbs,B1,fail,fallire
verbs,B1,include,includere
verbs,B1,increase,aumentare
verbs,B1,interrupt,interrompere
verbs,B1,offer,offrire
verbs,B1,pretend,far finta
verbs,B1,produce,produrre
verbs,B1,protect,proteggere
verbs,B1,provide,fornire
verbs,B1,reduce,ridurre
verbs,B1,remain,rimanere
verbs,B1,report,riportare
verbs,B1,require,richiedere
verbs,B1,save,salvare
verbs,B1,succeed,riuscire
verbs,B1,trust,confidare/avere fiducia
verbs,B1,waste,sprecare
verbs,B1,wonder,chiedersi
verbs,B1,attend,frequentare
verbs,B1,belong,appartenere
verbs,B1,compliment,complimentarsi
verbs,B1,convince,convincere
verbs,B1,delay,ritardare
nouns,B1,adventure,avventura
nouns,B1,behavior,comportamento
nouns,B1,career,carriera
nouns,B1,challenge,sfida
nouns,B1,community,comunità
nouns,B1,connection,connessione
nouns,B1,crime,crimine
nouns,B1,damage,danno
nouns,B1,experience,esperienza
nouns,B1,goal,obiettivo
nouns,B1,habit,abitudine
nouns,B1,knowledge,conoscenza
nouns,B1,opinion,opinione
nouns,B1,opportunity,opportunità
nouns,B1,pattern,modello/schema
nouns,B1,pleasure,piacere
nouns,B1,relationship,relazione
nouns,B1,rule,regolamento
nouns,B1,solution,soluzione (astratta)
nouns,B1,trend,tendenza
nouns,B1,agreement,accordo
nouns,B1,attitude,atteggiamento
nouns,B1,choice,scelta
nouns,B1,communication,comunicazione
nouns,B1,consequence,conseguenza
nouns,B1,contrast,contrasto
nouns,B1,decision,decisione
nouns,B1,detail,dettaglio
nouns,B1,education,istruzione
nouns,B1,energy,energia
nouns,B1,event,evento
nouns,B1,example,esempio
nouns,B1,fact,fatto
nouns,B1,feature,caratteristica
nouns,B1,future,futuro
nouns,B1,history,storia
nouns,B1,improvement,miglioramento
nouns,B1,information,informazione
nouns,B1,language,lingua
nouns,B1,level,livello
nouns,B1,meaning,significato
nouns,B1,member,membro
nouns,B1,method,metodo
nouns,B1,movement,movimento
nouns,B1,nature,natura
nouns,B1,opinion,opinione
nouns,B1,option,opzione
nouns,B1,performance,prestazione
nouns,B1,progress,progresso
nouns,B1,quality,qualità
nouns,B1,quantity,quantità
nouns,B1,reason,ragione
nouns,B1,result,risultato
nouns,B1,subject,soggetto
nouns,B1,task,compito
nouns,B1,topic,argomento
nouns,B1,value,valore
nouns,B1,view,visione/parere
nouns,B1,volunteer,volontario
