level,verb,tense,1s,2s,3s,1p,2p,3p
C1,Abide,Present Simple,I abide,you abide,he/she/it abides,we abide,you abide,they abide
C1,Abide,Present Continuous,I am abiding,you are abiding,he/she/it is abiding,we are abiding,you are abiding,they are abiding
C1,Abide,Present Perfect,I have abided,you have abided,he/she/it has abided,we have abided,you have abided,they have abided
C1,Abide,Present Perfect Continuous,I have been abiding,you have been abiding,he/she/it has been abiding,we have been abiding,you have been abiding,they have been abiding
C1,Abide,Past Simple,I abode,you abode,he/she/it abode,we abode,you abode,they abode
C1,Abide,Past Continuous,I was abiding,you were abiding,he/she/it was abiding,we were abiding,you were abiding,they were abiding
C1,Abide,Past Perfect Simple,I had abided,you had abided,he/she/it had abided,we had abided,you had abided,they had abided
C1,Abide,Past Perfect Continuous,I had been abiding,you had been abiding,he/she/it had been abiding,we had been abiding,you had been abiding,they had been abiding
C1,Abide,Future Simple,I will abide,you will abide,he/she/it will abide,we will abide,you will abide,they will abide
C1,Abide,Future Continuous,I will be abiding,you will be abiding,he/she/it will be abiding,we will be abiding,you will be abiding,they will be abiding
C1,Abide,Future Perfect Simple,I will have abided,you will have abided,he/she/it will have abided,we will have abided,you will have abided,they will have abided
C1,Abide,Future Perfect Continuous,I will have been abiding,you will have been abiding,he/she/it will have been abiding,we will have been abiding,you will have been abiding,they will have been abiding
C1,Abide,First Conditional,If I abide,you will abide,he/she/it will abide,we will abide,you will abide,they will abide
C1,Abide,Second Conditional,If I abided,you would abide,he/she/it would abide,we would abide,you would abide,they would abide
C1,Arise,Present Simple,I arise,you arise,he/she/it arises,we arise,you arise,they arise
C1,Arise,Present Continuous,I am arising,you are arising,he/she/it is arising,we are arising,you are arising,they are arising
C1,Arise,Present Perfect,I have arisen,you have arisen,he/she/it has arisen,we have arisen,you have arisen,they have arisen
C1,Arise,Present Perfect Continuous,I have been arising,you have been arising,he/she/it has been arising,we have been arising,you have been arising,they have been arising
C1,Arise,Past Simple,I arose,you arose,he/she/it arose,we arose,you arose,they arose
C1,Arise,Past Continuous,I was arising,you were arising,he/she/it was arising,we were arising,you were arising,they were arising
C1,Arise,Past Perfect Simple,I had arisen,you had arisen,he/she/it had arisen,we had arisen,you had arisen,they had arisen
C1,Arise,Past Perfect Continuous,I had been arising,you had been arising,he/she/it had been arising,we had been arising,you had been arising,they had been arising
C1,Arise,Future Simple,I will arise,you will arise,he/she/it will arise,we will arise,you will arise,they will arise
C1,Arise,Future Continuous,I will be arising,you will be arising,he/she/it will be arising,we will be arising,you will be arising,they will be arising
C1,Arise,Future Perfect Simple,I will have arisen,you will have arisen,he/she/it will have arisen,we will have arisen,you will have arisen,they will have arisen
C1,Arise,Future Perfect Continuous,I will have been arising,you will have been arising,he/she/it will have been arising,we will have been arising,you will have been arising,they will have been arising
C1,Arise,First Conditional,If I arise,you will arise,he/she/it will arise,we will arise,you will arise,they will arise
C1,Arise,Second Conditional,If I arose,you would arise,he/she/it would arise,we would arise,you would arise,they would arise
C1,Awake,Present Simple,I awake,you awake,he/she/it awakes,we awake,you awake,they awake
C1,Awake,Present Continuous,I am awaking,you are awaking,he/she/it is awaking,we are awaking,you are awaking,they are awaking
C1,Awake,Present Perfect,I have awoken,you have awoken,he/she/it has awoken,we have awoken,you have awoken,they have awoken
C1,Awake,Present Perfect Continuous,I have been awaking,you have been awaking,he/she/it has been awaking,we have been awaking,you have been awaking,they have been awaking
C1,Awake,Past Simple,I awoke,you awoke,he/she/it awoke,we awoke,you awoke,they awoke
C1,Awake,Past Continuous,I was awaking,you were awaking,he/she/it was awaking,we were awaking,you were awaking,they were awaking
C1,Awake,Past Perfect Simple,I had awoken,you had awoken,he/she/it had awoken,we had awoken,you had awoken,they had awoken
C1,Awake,Past Perfect Continuous,I had been awaking,you had been awaking,he/she/it had been awaking,we had been awaking,you had been awaking,they had been awaking
C1,Awake,Future Simple,I will awake,you will awake,he/she/it will awake,we will awake,you will awake,they will awake
C1,Awake,Future Continuous,I will be awaking,you will be awaking,he/she/it will be awaking,we will be awaking,you will be awaking,they will be awaking
C1,Awake,Future Perfect Simple,I will have awoken,you will have awoken,he/she/it will have awoken,we will have awoken,you will have awoken,they will have awoken
C1,Awake,Future Perfect Continuous,I will have been awaking,you will have been awaking,he/she/it will have been awaking,we will have been awaking,you will have been awaking,they will have been awaking
C1,Awake,First Conditional,If I awake,you will awake,he/she/it will awake,we will awake,you will awake,they will awake
C1,Awake,Second Conditional,If I awoke,you would awake,he/she/it would awake,we would awake,you would awake,they would awake
C1,Bear,Present Simple,I bear,you bear,he/she/it bears,we bear,you bear,they bear
C1,Bear,Present Continuous,I am bearing,you are bearing,he/she/it is bearing,we are bearing,you are bearing,they are bearing
C1,Bear,Present Perfect,I have borne,you have borne,he/she/it has borne,we have borne,you have borne,they have borne
C1,Bear,Present Perfect Continuous,I have been bearing,you have been bearing,he/she/it has been bearing,we have been bearing,you have been bearing,they have been bearing
C1,Bear,Past Simple,I bore,you bore,he/she/it bore,we bore,you bore,they bore
C1,Bear,Past Continuous,I was bearing,you were bearing,he/she/it was bearing,we were bearing,you were bearing,they were bearing
C1,Bear,Past Perfect Simple,I had borne,you had borne,he/she/it had borne,we had borne,you had borne,they had borne
C1,Bear,Past Perfect Continuous,I had been bearing,you had been bearing,he/she/it had been bearing,we had been bearing,you had been bearing,they had been bearing
