level,word,synonyms
A2,able,capable;competent;skilled;fit
A2,afraid,scared;frightened;nervous;anxious;fearful
A2,aged,old;elderly;senior;ancient
A2,amazing,wonderful;incredible;fantastic;awesome
A2,amazed,surprised;astonished;shocked;stunned
A2,angry,mad;annoyed;furious;irritated
A2,attractive,pretty;beautiful;good-looking;lovely
A2,available,free;accessible;ready;obtainable
A2,awesome,amazing;incredible;wonderful;fantastic
A2,awful,terrible;horrible;dreadful;unpleasant
A2,bad,terrible;awful;poor;nasty
A2,bored,uninterested;tired;weary;fed up
A2,boring,dull;uninteresting;tiring;tedious
A2,clean,neat;tidy;fresh;spotless
A2,clever,smart;intelligent;bright;sharp
A2,crazy,mad;insane;silly;wild
A2,dead,lifeless;gone;passed away;without life
A2,different,unlike;distinct;separate;varied
A2,dry,arid;parched;thirsty;barren
A2,early,first;initial;premature;prior
A2,easy,simple;clear;effortless;straightforward
A2,electric,powered;electrical;charged;plugged-in
A2,fair,just;right;honest;reasonable
A2,famous,well-known;popular;celebrated;noted
A2,fantastic,great;wonderful;amazing;fabulous
A2,fat,overweight;heavy;plump;large
A2,friendly,kind;helpful;pleasant;nice
A2,full,complete;packed;entire;whole
A2,glad,happy;pleased;delighted;joyful
A2,good,nice;fine;great;pleasant
A2,great,excellent;fantastic;wonderful;super
A2,happy,glad;pleased;joyful;cheerful
A2,heavy,weighty;huge;massive;big
A2,horrible,awful;terrible;dreadful;nasty
A2,hot,warm;boiling;burning;heated
A2,huge,big;enormous;giant;massive
A2,hungry,starving;empty;peckish;famished
A2,last,final;end;ultimate;concluding
A2,late,delayed;overdue;belated;tardy
A2,lazy,idle;inactive;sluggish;slow
A2,large,big;huge;enormous;great
A2,latest,newest;recent;up-to-date;fresh
A2,light,bright;pale;clear;shiny
A2,little,small;tiny;short;petite
A2,long,extended;tall;lengthy;big
A2,married,wedded;joined;united;hitched
A2,near,close;next to;nearby;adjacent
A2,nervous,anxious;worried;uneasy;fearful
A2,new,recent;modern;latest;fresh
A2,next,following;coming;subsequent;after
A2,nice,pleasant;kind;friendly;lovely
A2,pale,light;fair;faded;colorless
A2,pretty,beautiful;cute;lovely;attractive
A2,proud,pleased;glad;delighted;content
A2,quiet,calm;silent;peaceful;still
A2,sad,unhappy;sorrowful;depressed;upset
A2,safe,secure;protected;sheltered;sound
A2,same,equal;identical;similar;matching
A2,slim,thin;slender;lean;skinny
A2,slow,unhurried;sluggish;leisurely;late
A2,small,little;tiny;petite;mini
A2,successful,rich;prosperous;strong;winning
A2,sure,certain;confident;positive;clear
A2,surprised,amazed;astonished;shocked;startled
A2,thin,slim;skinny;lean;slender
A2,tired,sleepy;exhausted;weary;fatigued
A2,warm,hot;heated;mild;pleasant
A2,worried,anxious;nervous;upset;concerned
