level,word,synonyms
A1,angry,mad;upset;annoyed;irritated
A1,beautiful,pretty;lovely;attractive;cute
A1,big,large;huge;big-sized;oversized
A1,black,dark;inky;jet-black;ebony
A1,blue,navy;sky-blue;pale-blue;azure
A1,brown,tan;chocolate;beige;light-brown
A1,clean,tidy;neat;spotless;orderly
A1,closed,shut;locked;fastened;sealed
A1,cool,chilly;refreshing;moderate;calm
A1,correct,right;accurate;proper;exact
A1,dirty,messy;soiled;filthy;grimy
A1,double,twin;pair;dual;combined
A1,favourite,preferred;best-loved;top-choice;most liked
A1,great,excellent;super;great-big;fantastic
A1,happy,glad;joyful;cheerful;pleased
A1,hot,warm;boiling;heated;scorching
A1,hungry,peckish;starving;empty-stomached;ravenous
A1,new,recent;fresh;brand-new;novel
A1,nice,kind;pleasant;lovely;friendly
A1,old,aged;ancient;elderly;old-fashioned
A1,open,ajar;wide-open;unlocked;accessible
A1,perfect,ideal;flawless;spot-on;exact
A1,pink,pale-red;rosy;light-pink;blush
A1,purple,violet;lavender;plum;magenta
A1,quick,fast;rapid;swift;speedy
A1,quiet,silent;calm;peaceful;soft
A1,sad,unhappy;sorrowful;depressed;downcast
A1,safe,secure;protected;harmless;unharmed
A1,scary,frightening;frightful;spooky;creepy
A1,short,brief;small;miniature;compact
A1,slow,unhurried;lethargic;sluggish;delayed
A1,small,tiny;little;mini;compact
A1,strong,powerful;firm;sturdy;robust
A1,true,real;correct;actual;authentic
A1,ugly,unattractive;hideous;plain;grotesque
A1,warm,cozy;heated;pleasant;hotish
A1,wet,damp;moist;soaked;drizzly
A1,young,youthful;childish;juvenile;teeny
A1,wrong,incorrect;awry;off;unsuitable
A1,everyday,daily;regular;ordinary;routine
