level,word,synonyms
C2,ubiquitous,omnipresent;pervasive;ever-present;all-pervading
C2,obfuscate,cloud;muddy;confound;bewilder
C2,ameliorate,improve;enhance;mitigate;better
C2,attenuate,weaken;diminish;reduce;de-escalate
C2,apprise,inform;notify;brief;advise
C2,apposite,relevant;pertinent;apt;germane
C2,apropos,appropriate;timely;pertinent;relevant
C2,arcane,esoteric;recondite;cryptic;abstruse
C2,abrogate,annul;repeal;rescind;nullify
C2,acquiesce,comply;concede;yield;submit
C2,adumbrate,foreshadow;outline;sketch;prefigure
C2,affable,amiable;genial;cordial;companionable
C2,alacrity,readiness;willingness;briskness;dispatch
C2,anachronistic,out-of-date;anachronous;misdated;untimely
C2,antithetical,contradictory;incompatible;opposed;contrary
C2,apocryphal,dubious;spurious;questionable;inauthentic
C2,asperity,harshness;acrimony;sharpness;severity
C2,assiduous,diligent;sedulous;industrious;painstaking
C2,attenuate,weaken;thin;dilute;lessen
C2,aver,assert;declare;maintain;avow
C2,avow,profess;declare;acknowledge;affirm
C2,beleaguer,beset;harass;badger;plague
C2,beguile,charm;entice;hoodwink;dupe
C2,bellicose,warlike;aggressive;truculent;combative
C2,bombastic,pompous;grandiloquent;inflated;orotund
C2,brazen,shameless;brash;impudent;barefaced
C2,cacophony,discord;dissonance;clamor;din
C2,cajole,coax;wheedle;persuade;blandish
C2,capitulate,surrender;yield;submit;concede
C2,cavalier,dismissive;offhand;supercilious;insouciant
C2,censure,condemn;denounce;castigate;reprove
C2,chide,rebuke;reproach;admonish;scold
C2,coalesce,merge;amalgamate;fuse;consolidate
C2,collude,conspire;connive;plot;schematize
C2,complicit,culpable;involved;conniving;abetting
C2,concomitant,accompanying;attendant;coexistent;corollary
C2,conflate,merge;blend;fuse;collapse
C2,consummate,perfect;supreme;accomplished;quintessential
C2,contravene,violate;breach;infringe;transgress
C2,convoluted,labyrinthine;intricate;byzantine;tortuous
C2,countenance,tolerate;endorse;permit;sanction
C2,craven,cowardly;pusillanimous;timorous;spineless
C2,credence,belief;acceptance;trust;confidence
C2,deleterious,damaging;harmful;injurious;detrimental
C2,demur,object;protest;take issue;dissent
C2,desultory,aimless;rambling;disconnected;fitful
C2,diatribe,tirade;harangue;philippic;fulmination
C2,didactic,instructive;edifying;pedagogic;sententious
C2,diffident,shy;timid;self-effacing;reserved
C2,dilatory,slow;laggard;procrastinating;tardy
C2,disabuse,correct;disillusion;enlighten;set straight
C2,disconcerting,unsettling;disquieting;perturbing;disturbing
C2,disingenuous,insincere;duplicitous;artful;two-faced
C2,disparate,divergent;dissimilar;heterogeneous;distinct
C2,dissemble,pretend;feign;mask;conceal
C2,disseminate,spread;propagate;diffuse;circulate
C2,dogged,tenacious;stubborn;persevering;indefatigable
C2,efface,erase;obliterate;expunge;rub out
C2,efficacious,effective;potent;effectual;productive
C2,egregious,flagrant;notorious;outrageous;blatant
C2,elucidate,clarify;explicate;illuminate;unpack
C2,emulate,imitate;match;rival;mirror
C2,enervate,weaken;devitalize;debilitate;sap
C2,ephemeral,transient;fleeting;momentary;evanescent
C2,equivocal,ambiguous;unclear;tenuous;doubtful
C2,ersatz,imitation;fake;substitute;spurious
C2,esoteric,arcane;recondite;cryptic;occult
C2,ethereal,airy;delicate;gossamer;otherworldly
C2,euphemistic,circumlocutory;polite;softened;indirect
C2,excoriate,criticize;denounce;berate;lambast
C2,exculpate,absolve;vindicate;acquit;exonerate
C2,exigent,pressing;urgent;imperative;critical
C2,exiguous,scant;meagre;paltry;insufficient
C2,extrapolate,infer;deduce;project;extend
C2,factious,fractious;dissident;schismatic;discordant
C2,fastidious,meticulous;punctilious;fussy;scrupulous
